b_1,t,p,p,p,p,p,p,p,p,p,p,p,p,p,t,p,t
t,p,p,p,p,p,p,p,p,p,p,p,p,m,m,m,m,p
p,p,h_1,p,b_1,p,p,r,r,r,r,r,p,p,p,p,m,t
p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,m,p
p,p,b_1,p,p,p,p,p,p,p,p,p,p,b,r,p,m,p
p,p,p,p,p,t,p,p,f,p,p,p,p,p,r,p,p,p
p,p,p,p,p,p,p,f,m,m,p,b,p,p,r,p,p,p
p,p,p,r,p,p,f,f,m,m,p,p,r,r,r,p,p,p
p,p,p,r,p,f,f,p,m,m,p,p,p,p,r,p,p,p
p,p,p,r,p,p,p,p,m,m,p,f,f,p,r,p,p,p
p,p,p,r,r,r,p,p,m,m,f,f,p,p,r,p,p,p
p,p,p,r,p,p,b,p,m,m,f,p,p,p,p,p,p,p
p,p,p,r,p,p,p,p,p,f,p,p,t,p,p,p,p,p
p,m,p,r,b,p,p,p,p,p,p,p,p,p,p,b_2,p,p
p,m,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
t,m,p,p,p,p,r,r,r,r,r,p,p,b_2,p,h_2,p,p
p,m,m,m,m,p,p,p,p,p,p,p,p,p,p,p,p,t
t,p,t,p,p,p,p,p,p,p,p,p,p,p,p,p,t,b_2
