o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
o,o,o,o,h_1,p,p,p,p,p,b,p,p,p,p,p,b_1,o,o,o
o,o,o,o,p,p,p,o,p,p,p,p,p,o,p,o,p,o,o,o
o,o,o,o,p,p,b_1,p,m,p,m,p,m,o,p,p,p,o,o,o
o,o,o,o,p,o,p,t,m,p,m,p,m,t,o,o,p,o,o,o
o,o,o,o,p,p,m,m,m,p,m,p,m,m,m,p,p,o,o,o
o,o,o,o,p,f,p,f,p,f,b,f,p,f,p,f,p,o,o,o
o,o,o,o,p,p,m,m,m,p,m,p,m,m,m,p,p,o,o,o
o,o,o,o,p,o,o,t,m,p,m,p,m,t,p,o,p,o,o,o
o,o,o,o,p,p,p,o,m,p,m,p,m,p,b_2,p,p,o,o,o
o,o,o,o,p,o,p,o,p,p,p,p,p,o,p,p,p,o,o,o
o,o,o,o,b_2,p,p,p,p,p,b,p,p,p,p,p,h_2,o,o,o
o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
